AWAY,HOME,HOME_TEAM_RESULT,W%,B_index,LV2,wOBA,W%,B_index,LV2,wOBA
Orioles,Braves,D,0.549382716,47.3,26.91,0.326,0.422360248,45.5,26.35,0.304
Pirates,Tigers,L,0.481481481,47,26.13,0.318,0.534161491,48,27.31,0.33
BlueJays,Phillies,L,0.549382716,46.7,28.14,0.327,0.438271605,47,28.53,0.296
Reds,Indians,L,0.419753086,46.7,26.46,0.311,0.583850932,46.4,30.09,0.326
Braves,Orioles,L,0.422360248,45.5,26.35,0.304,0.549382716,47.3,26.91,0.326
Tigers,Yankees,W,0.534161491,48,27.31,0.33,0.518518519,44.8,30.4,0.311
Tigers,Pirates,L,0.534161491,48,27.31,0.33,0.481481481,47,26.13,0.318
Twins,RedSox,L,0.364197531,47.9,26.48,0.317,0.574074074,46.6,29.18,0.346
Nationals,Rays,L,0.586419753,45.8,31.17,0.322,0.419753086,48.8,29.26,0.315
Phillies,BlueJays,D,0.438271605,47,28.53,0.296,0.549382716,46.7,28.14,0.327
Indians,Reds,D,0.583850932,46.4,30.09,0.326,0.419753086,46.7,26.46,0.311
Angels,Giants,W,0.456790123,42.4,25.16,0.314,0.537037037,43.5,28.27,0.315
Rangers,Royals,L,0.586419753,46.2,25.24,0.324,0.5,46.3,27.5,0.307
Padres,Mariners,W,0.419753086,48.5,26.19,0.297,0.530864198,46.6,28.27,0.325
Orioles,Rays,W,0.549382716,47.3,26.91,0.326,0.419753086,48.8,29.26,0.315
Tigers,Braves,L,0.534161491,48,27.31,0.33,0.422360248,45.5,26.35,0.304
Astros,Phillies,L,0.518518519,48.1,29.74,0.317,0.438271605,47,28.53,0.296
Marlins,Cardinals,W,0.49068323,46.1,28.77,0.309,0.530864198,46.7,27.7,0.329
Mets,Nationals,W,0.537037037,45.9,29.76,0.315,0.586419753,45.8,31.17,0.322
Phillies,Yankees,L,0.438271605,47,28.53,0.296,0.518518519,44.8,30.4,0.311
BlueJays,Pirates,L,0.549382716,46.7,28.14,0.327,0.481481481,47,26.13,0.318
