AWAY,HOME,HOME_TEAM_RESULT,W%,B_index,LV2,wOBA,WAR,WAR,W%,B_index,LV2,wOBA,WAR,WAR
Orioles,Braves,D,0.549382716,47.3,26.91,0.326,15.4,20.2,0.422360248,45.5,26.35,0.304,8.9,10
Pirates,Tigers,L,0.481481481,47,26.13,0.318,9.2,17.3,0.534161491,48,27.31,0.33,17.4,19.4
BlueJays,Phillies,L,0.549382716,46.7,28.14,0.327,19,23.7,0.438271605,47,28.53,0.296,13.6,10.2
Reds,Indians,L,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.583850932,46.4,30.09,0.326,18.7,26.7
Braves,Orioles,L,0.422360248,45.5,26.35,0.304,8.9,10,0.549382716,47.3,26.91,0.326,15.4,20.2
Tigers,Yankees,W,0.534161491,48,27.31,0.33,17.4,19.4,0.518518519,44.8,30.4,0.311,18.2,14.6
Tigers,Pirates,L,0.534161491,48,27.31,0.33,17.4,19.4,0.481481481,47,26.13,0.318,9.2,17.3
Twins,RedSox,L,0.364197531,47.9,26.48,0.317,8.5,12.5,0.574074074,46.6,29.18,0.346,18.1,35
Nationals,Rays,L,0.586419753,45.8,31.17,0.322,23.2,23,0.419753086,48.8,29.26,0.315,12.2,17.3
Phillies,BlueJays,D,0.438271605,47,28.53,0.296,13.6,10.2,0.549382716,46.7,28.14,0.327,19,23.7
Indians,Reds,D,0.583850932,46.4,30.09,0.326,18.7,26.7,0.419753086,46.7,26.46,0.311,-1.4,15.9
Angels,Giants,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.537037037,43.5,28.27,0.315,17.2,26.8
Rangers,Royals,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.5,46.3,27.5,0.307,9.9,14.6
Padres,Mariners,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.530864198,46.6,28.27,0.325,12.9,20.9
Orioles,Rays,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.419753086,48.8,29.26,0.315,12.2,17.3
Tigers,Braves,L,0.534161491,48,27.31,0.33,17.4,19.4,0.422360248,45.5,26.35,0.304,8.9,10
