AWAY,HOME,HOME_TEAM_RESULT,W%,Off,K%,AVG
Orioles,Braves,D,-0.127022468,-128.6,-1.7,-0.001
Pirates,Tigers,L,0.052680009,42.8,0,0.01
BlueJays,Phillies,L,-0.111111111,-153.7,1.1,-0.008
Reds,Indians,L,0.164097845,109.3,-0.9,0.006
Braves,Orioles,L,0.127022468,128.6,1.7,0.001
Tigers,Yankees,W,-0.015642972,-61.5,-1.7,-0.015
Tigers,Pirates,L,-0.052680009,-42.8,0,-0.01
Twins,RedSox,L,0.209876543,145.9,-4.4,0.031
Nationals,Rays,L,-0.166666667,-4.5,4.3,-0.013
Phillies,BlueJays,D,0.111111111,153.7,-1.1,0.008
Indians,Reds,D,-0.164097845,-109.3,0.9,-0.006
Angels,Giants,W,0.080246914,1.7,1.3,-0.002
Rangers,Royals,L,-0.086419753,-70.1,0.2,-0.001
Padres,Mariners,W,0.111111111,117.1,-4.3,0.024
Orioles,Rays,W,-0.12962963,-30.4,2.8,-0.013
Tigers,Braves,L,-0.111801242,-125.1,-1.3,-0.012
Astros,Phillies,L,-0.080246914,-139.5,-0.4,-0.007
Marlins,Cardinals,W,0.040180968,73.8,1.4,-0.008
Mets,Nationals,W,0.049382716,17.4,-1.1,0.01
Phillies,Yankees,L,0.080246914,93.5,-3.4,0.012
BlueJays,Pirates,L,-0.067901235,-41.5,-0.6,0.009
Cubs,Brewers,W,-0.185185185,-115.4,4.4,-0.012
WhiteSox,Dodgers,W,0.080246914,11.5,0.4,-0.008
Reds,Indians,L,0.164097845,109.3,-0.9,0.006
Brewers,Giants,L,0.086419753,35.5,-7.8,0.014
Rangers,Royals,L,-0.086419753,-70.1,0.2,-0.001
Athletics,Angels,W,0.030864198,76.2,-2.6,0.014
Mariners,Padres,L,-0.111111111,-117.1,4.3,-0.024
RedSox,Twins,L,-0.209876543,-145.9,4.4,-0.031
Braves,Phillies,W,0.015911356,-29.9,3,-0.015
Twins,Pirates,D,0.117283951,0,-1.5,0.006
Yankees,Tigers,W,0.015642972,61.5,1.7,0.015
Cardinals,Astros,W,-0.012345679,-20.1,2.2,-0.008
Rays,RedSox,W,0.154320988,130,-6.1,0.039
Nationals,Marlins,W,-0.095736523,-46.8,-0.4,0.007
Orioles,BlueJays,W,0,-4.8,0.2,-0.008
Marlins,Mets,D,0.046353807,29.4,1.5,-0.017
Indians,WhiteSox,D,-0.10236945,-58.9,0.8,-0.005
Rockies,Athletics,W,-0.037037037,-58.5,-2.3,-0.029
