AWAY,HOME,HOME_TEAM_RESULT,W%,Off,K%,AVG,P_Index,B_index
Orioles,Braves,D,-0.127022468,-128.6,-1.7,-0.001,-0.51,-1.8
Pirates,Tigers,L,0.052680009,42.8,0,0.01,0.82,1
BlueJays,Phillies,L,-0.111111111,-153.7,1.1,-0.008,0.45,0.3
Reds,Indians,L,0.164097845,109.3,-0.9,0.006,2.55,-0.3
Braves,Orioles,L,0.127022468,128.6,1.7,0.001,0.51,1.8
Tigers,Yankees,W,-0.015642972,-61.5,-1.7,-0.015,2.62,-3.2
Tigers,Pirates,L,-0.052680009,-42.8,0,-0.01,-0.82,-1
Twins,RedSox,L,0.209876543,145.9,-4.4,0.031,2.41,-1.3
Nationals,Rays,L,-0.166666667,-4.5,4.3,-0.013,-1.52,3
Phillies,BlueJays,D,0.111111111,153.7,-1.1,0.008,-0.45,-0.3
Indians,Reds,D,-0.164097845,-109.3,0.9,-0.006,-2.55,0.3
Angels,Giants,W,0.080246914,1.7,1.3,-0.002,2.41,1.1
Rangers,Royals,L,-0.086419753,-70.1,0.2,-0.001,1.93,0.1
Padres,Mariners,W,0.111111111,117.1,-4.3,0.024,1.36,-1.9
Orioles,Rays,W,-0.12962963,-30.4,2.8,-0.013,1.88,1.5
Tigers,Braves,L,-0.111801242,-125.1,-1.3,-0.012,-0.53,-2.5
Astros,Phillies,L,-0.080246914,-139.5,-0.4,-0.007,-0.92,-1.1
Marlins,Cardinals,W,0.040180968,73.8,1.4,-0.008,-1.47,0.6
Mets,Nationals,W,0.049382716,17.4,-1.1,0.01,1.44,-0.1
Phillies,Yankees,L,0.080246914,93.5,-3.4,0.012,1.52,-2.2
BlueJays,Pirates,L,-0.067901235,-41.5,-0.6,0.009,-1.47,0.3
Cubs,Brewers,W,-0.185185185,-115.4,4.4,-0.012,-4.35,3.2
WhiteSox,Dodgers,W,0.080246914,11.5,0.4,-0.008,4.18,-0.4
Reds,Indians,L,0.164097845,109.3,-0.9,0.006,2.55,-0.3
Brewers,Giants,L,0.086419753,35.5,-7.8,0.014,2.19,-6.4
Rangers,Royals,L,-0.086419753,-70.1,0.2,-0.001,1.93,0.1
Athletics,Angels,W,0.030864198,76.2,-2.6,0.014,-0.93,-1.2
Mariners,Padres,L,-0.111111111,-117.1,4.3,-0.024,-1.36,1.9
RedSox,Twins,L,-0.209876543,-145.9,4.4,-0.031,-2.41,1.3
Braves,Phillies,W,0.015911356,-29.9,3,-0.015,1.63,1.5
Twins,Pirates,D,0.117283951,0,-1.5,0.006,-0.17,-0.9
Yankees,Tigers,W,0.015642972,61.5,1.7,0.015,-2.62,3.2
Cardinals,Astros,W,-0.012345679,-20.1,2.2,-0.008,1.68,1.4
Rays,RedSox,W,0.154320988,130,-6.1,0.039,-0.1,-2.2
Nationals,Marlins,W,-0.095736523,-46.8,-0.4,0.007,-1.57,0.3
Orioles,BlueJays,W,0,-4.8,0.2,-0.008,0.67,-0.6
Marlins,Mets,D,0.046353807,29.4,1.5,-0.017,0.13,-0.2
Indians,WhiteSox,D,-0.10236945,-58.9,0.8,-0.005,-2.44,0.3
Rockies,Athletics,W,-0.037037037,-58.5,-2.3,-0.029,-0.61,-5.2
Angels,Cubs,W,0.179012346,81.6,4.7,-0.004,4.57,4.3
Dodgers,Rangers,D,0.024691358,3.2,-1.4,0.013,-5.72,-0.1
Giants,Reds,L,-0.117283951,-55.7,3.4,-0.002,-0.78,3.2
Mariners,Brewers,W,-0.080246914,-97.8,4.8,-0.015,-2.3,3.3
Royals,Padres,W,-0.080246914,5.9,4.8,-0.026,-0.97,2.2
Orioles,Twins,W,-0.185185185,-46.3,1.1,-0.005,-0.63,0.6
RedSox,Yankees,W,-0.055555556,-164.6,1.2,-0.03,0.86,-1.8
Tigers,Nationals,W,0.052258262,-22.4,-1.1,-0.011,3.38,-2.2
Mets,Astros,L,-0.018518519,24.3,2.1,0.001,0.08,2.2
Pirates,Braves,L,-0.059121233,-82.3,-1.3,-0.002,0.29,-1.5
Cardinals,Marlins,L,-0.040180968,-73.8,-1.4,0.008,1.47,-0.6
Phillies,BlueJays,W,0.111111111,153.7,-1.1,0.008,-0.45,-0.3
WhiteSox,Royals,L,0.018518519,-55.4,-0.8,0.004,0.39,-0.4
Reds,Cubs,L,0.216049383,135.6,0,0,2.94,0
Brewers,Athletics,D,-0.024691358,-42.4,-6.5,0.002,0.71,-6.3
Giants,Indians,L,0.046813895,53.6,2.5,0.004,1.77,2.9
Rangers,Giants,L,-0.049382716,-9.4,-2.3,-0.004,2.21,-2.7
Angels,Mariners,L,0.074074074,64,4.3,-0.001,2.52,4.2
Padres,Rockies,W,0.043209877,35.4,-3.7,0.04,0.38,0.3
Rays,Orioles,L,0.12962963,30.4,-2.8,0.013,-1.88,-1.5
Orioles,RedSox,W,0.024691358,99.6,-3.3,0.026,1.78,-0.7
Astros,Pirates,L,-0.037037037,-27.3,-2.1,0.01,-2.84,-1.1
Marlins,Tigers,W,0.043478261,69.2,1.5,0.004,-1.81,1.9
Twins,Rays,L,0.055555556,15.9,1.7,-0.008,2.51,0.9
Yankees,Phillies,W,-0.080246914,-93.5,3.4,-0.012,-1.52,2.2
BlueJays,Astros,W,-0.030864198,-14.2,1.5,-0.001,1.37,1.4
Nationals,Cardinals,L,-0.055555556,27,1,-0.001,-3.04,0.9
